YearsFromRegistration,powerPS,kilometer,abtest_test,vehicleType_cabrio,vehicleType_coupe,vehicleType_limousine,vehicleType_others,vehicleType_small car,vehicleType_station wagon,vehicleType_suv,fuelType_diesel,fuelType_electro,fuelType_hybrid,fuelType_lpg,fuelType_other,fuelType_petrol,gearbox_manual,notRepairedDamage_yes,brand_encoded,monthOfRegistration_Q2,monthOfRegistration_Q3,monthOfRegistration_Q4,price
20,58,125000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,24,1,0,0,2500
18,116,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,4500
26,150,150000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,800
21,150,125000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,7500
27,90,150000,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,36,1,0,0,2200
28,102,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,300
21,60,150000,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,30,0,0,0,1390
6,145,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,10,1,0,0,4850
12,140,100000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,38,0,0,0,13500
33,110,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,38,1,0,0,3999
22,116,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1550
14,60,100000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,10,1,0,0,5100
20,231,70000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,13800
34,69,150000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,1,2450
6,110,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3890
21,58,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,24,0,1,0,1900
15,122,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20,0,0,0,7999
10,204,50000,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,1,29990
20,177,150000,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,20,0,0,1,4650
12,86,60000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,38,1,0,0,11990
21,110,150000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,38,0,1,0,1650
19,174,150000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,0,0,0,10000
7,46,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,25,0,0,0,450
25,110,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,17,0,0,1,1250
17,68,125000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,36,1,0,0,2799
